行政區,路名,段、號及其他註明,經度,緯度,備註
大同區,民權西路,95號對面公車站內,121.5186111,25.06305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,95號對面公車站內,121.5186111,25.06305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段5號,121.5183333,25.06333333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段15號,121.5183333,25.06333333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段53號,121.5186111,25.06555556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段95號,121.5183333,25.06583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段131號,121.5186111,25.0675,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段175號,121.5186111,25.06916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段223號,121.5183333,25.07,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,圓山捷運酒泉街1號出口,121.5197222,25.07083333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,圓山捷運酒泉街1號出口,121.52,25.07111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,圓山捷運酒泉街1號出口,121.52,25.07111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,庫倫街,圓山捷運庫倫街2號出口,121.5202778,25.07194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段（中華電信）,121.5186111,25.07166667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段277號(合作金庫),121.5191667,25.07277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段285號(明倫國小),121.5191667,25.07333333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段287號(職訓中心),121.5197222,25.07444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段敦煌路口(勞檢處),121.52,25.075,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段336號,121.5202778,25.07611111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,敦煌路,19號（明倫高中）,121.5197222,25.07555556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,敦煌路,19號（重慶國中）,121.5180556,25.07583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,敦煌路,平光寺門口,121.5177778,25.07555556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段320號,121.5197222,25.075,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段264號,121.5191667,25.07361111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段240號,121.5191667,25.07277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,庫倫街,25號,121.5177778,25.07222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,保安宮(公車站牌),121.5155556,25.07222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段212號,121.5188889,25.07111111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段206號,121.5186111,25.07055556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段160號,121.5186111,25.06888889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民族西路,80號,121.5175,25.06833333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段152號,121.5183333,25.06833333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,承德路,3段52號,121.5186111,25.065,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,125號,121.5175,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,151號,121.5169444,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,大龍街公車站,121.5163889,25.06277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,民權西路,221號,121.5144444,25.06305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段11號,121.5136111,25.06444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段昌吉街口公車站內,121.5136111,25.06583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段昌吉街公車站,121.5138889,25.06583333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段81號,121.5138889,25.0658333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段民族西路公車站,121.5136111,25.06805556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段民族西路公車站,121.5136111,25.06833333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段145號,121.5136111,25.06833333,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段179號,121.5133333,25.06916667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段203號,121.5138889,25.07,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段酒泉街公車站,121.5136111,25.07194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段酒泉街公車站,121.5138889,25.07194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段333號,121.5138889,25.07472222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段347號啟聰學校站牌,121.5138889,25.075,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,4段235巷口對面左邊,121.5119444,25.07611111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,4段229號對面,121.5116667,25.07527778,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,4段(啟聰學校後門)左,121.5116667,25.07472222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,4段193號對面,121.5111111,25.07416667,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,延平北路,4段155號對面,121.5111111,25.07305556,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,235號左邊,121.5105556,25.07222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,235號右邊,121.5102778,25.07222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,酒泉街,226號對面,121.51,25.07222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,環河北路,2段(污水廠天橋下),121.5088889,25.07444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,環河北路,2段敦煌路口,121.5097222,25.07611111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,敦煌路,165號對面,121.5108333,25.07638889,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段338號,121.5136111,25.07611111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段320號左側,121.5136111,25.075,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段320號右側,121.5136111,25.07444444,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段298號,121.5136111,25.07361111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段288號,121.5136111,25.07361111,嚴禁投入家用垃圾，違者重罰新台幣6000元
大同區,重慶北路,3段276號,121.5136111,25.07222222,嚴禁投入家用垃圾，違者重罰新台幣6000元
