行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
北投,關渡站,台北市大度路3段296巷51號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.125539,121.467283
北投,忠義站,台北市中央北路4段301號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.131062,121.473214
北投,復興崗站,台北市中央北路3段53巷10號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.13766,121.485365
北投,新北投站,台北市大業路700號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.136996,121.50343
北投,北投站,台北市光明路1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.132068,121.498234
北投,奇岩站,台北市三合街2段487號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.1261,121.500942
北投,唭哩岸站,台北市東華街2段301號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口1,25.120823,121.506824
北投,石牌站,台北市石牌路1段200號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口1,25.114852,121.515189
北投,明德站,台北市明德路95號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.109317,121.519024
士林,芝山站,台北市福國路70號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.102112,121.522608
士林,士林站,台北市福德路1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1號出口、2號出口,25.094093,121.525974
士林,劍潭站,台北市中山北路5段65號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,3,1號出口、2號出口,25.085144,121.525154
大同,圓山站,台北市酒泉街9之1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.070823,121.520082
中山,民權西路站,台北市民權西路72號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,3,1號出口、9號出口,25.062605,121.519547
中山,雙連站,台北市民生西路47號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.057496,121.520579
中山,中山站,台北市南京西路16號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,3,1號及5號出口,25.052423,121.520302
中正,台北車站,台北市忠孝西路1段49號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,4號出口,25.046485,121.517253
中正,台大醫院站,台北市公園路52號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.040962,121.515774
中正,中正紀念堂站,台北市羅斯福路1段8之1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,5號出口,25.034899,121.517187
中正,古亭站,台北市羅斯福路2段164之1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,6號出口,25.027499,121.522304
中正,台電大樓站,台北市羅斯福路3段126-5號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.019779,121.528519
中正,公館站,台北市羅斯福路4段64-1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.014685,121.534767
文山,萬隆站,台北市羅斯福路5段214號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,4號出口,25.002793,121.538626
文山,景美站,台北市羅斯福路6段216號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,24.99223,121.540694
文山,動物園站,台北市新光路2段32號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,24.998276,121.579897
文山,木柵站,台北市木柵路4段135號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,24.998202,121.573381
文山,萬芳社區站,台北市萬芳路60號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,24.998599,121.568384
文山,萬芳醫院站,台北市興隆路3段113號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,24.999333,121.557732
文山,辛亥站,台北市辛亥路4段128號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.00512,121.557015
大安,麟光站,台北市和平東路3段410號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口左側,25.01864,121.5586
大安,六張犁站,台北市和平東路3段168號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.023878,121.552755
大安,科技大樓站,台北市復興南路2段235號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口右側,25.026134,121.543472
大安,大安站,台北市信義路4段2號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,4號出口,25.033164,121.544005
大安,大安站(信義),台北市信義路4段2號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1、2號出口間,25.033164,121.544005
